,Country ,Capital ,Native /Official Language
133,MaltaMalta,Valletta or Il-Belt Valletta  Valletta,"Maltese  English
"
134,Marshall IslandsAorōkin Ṃajeḷ,MajuroMājro,"English Marshallese
"
135,Martinique,Fort-de-France,"French
"
136,Muritan / Agawecⵎⵓⵔⵉⵜⴰⵏ / ⴰⴳⴰⵡⵛMūrītānyāموريتانيا,Nwakcuṭ / anu ukcuḍⵏⵡⴰⴽⵛⵓⵟ / ⴰⵏⵓ ⵓⴽⵛⵓⴹnwakšūṭنواكشوط / أنو ؤكشوض,"Berber language(Tifinagh script)Arabic(Arabic script)
"
137,MauritiusMauriceMoris,Port LouisPort-LouisPorlwi,"EnglishFrenchMauritian Creole
"
138,MayotteMaore,MamoudzouMomoju,"FrenchShimaore
"
139,"MéxicoMēxihco
",Ciudad de MéxicoĀltepētl Mēxihco,"SpanishNahuatl
"
140,Federated States of Micronesia,Palikir,"English
"
141,Moldova,Chișinău,"Romanian
"
142,Monaco  Múnegu,Monaco  Múnegu,"French  Monégasque
"
143,Mongol UlsМонгол Улсᠮᠤᠩᠭᠤᠯᠤᠯᠤᠰ,UlaanbaatarУлаанбаатарᠤᠯᠠᠭᠠᠨᠪᠠᠭᠠᠲᠤᠷ,"Mongolian(Cyrillic script)(Mongol script)
"
144,Crna GoraЦрна Гора,PodgoricaПодгорица,"Montenegrin
"
145,Montserrat,Brades Estate,"English
"
146,Amerruk / Elmeɣribⴰⵎⵔⵔⵓⴽ / ⵍⵎⵖⵔⵉⴱAl-maɣrébالمغرب,ErrbaṭⵔⵔⴱⴰⵟAr-ribaaṭالرباط,"Berber language(Tifinagh script)Arabic(Arabic script)
"
147,Moçambique,Maputo,"Portuguese
"
148,Myanmaမြန်မာ,Nay Pyi Tawနေပြည်တော်,"Burmese(Burmese alphabet)
"
149,Namibia Namibia Namibië Namibia Namibia,WindhoekWindhukWindhoek/Ae-//GamsOtjomuise,"EnglishGermanAfrikaansDamara/NamaHerero
"
150,NauruNaoero,YarenYaren,"EnglishNauruan
"
151,Nepālनेपाल,Kāṭhamāṇḍauṃकाठमाण्डौंKāntipuraकान्तिपुरYen Deyयेँ देय्‌,"NepaleseDevanagari
"
152,NederlandNederlân,AmsterdamAmsterdam,"DutchWest Frisian
"
153,Nouvelle-Calédonie,Nouméa,"French
"
154,New ZealandAotearoa,WellingtonPoneke/Te Whanganui-a-Tara,"EnglishMāori
"
155,Nicaragua,Managua,"Spanish
"
156,Niger,Niamey,"French
"
157,Nigeria  Nijeriya  Naìjíríyà  Nàìjíríà,Abuja Abuja Abuja  Àbújá,"English Hausa Igbo Yoruba
"
158,NiuēNiue,AlofiAlofi,"NiueanEnglish
"
